model,bin,n,true_mean,mae,bias,bin_label
3dcnn,"(1.4420000000000002, 6.746]",146,5.48673489041096,0.5908379892260273,0.3693991280821917,1.44-6.75
3dcnn,"(6.746, 8.105]",138,7.481836449275362,0.5587565495717393,0.2882812036231883,6.75-8.11
3dcnn,"(8.105, 9.117]",147,8.607052517006803,0.527656287684354,0.2393730496598638,8.11-9.12
3dcnn,"(9.117, 10.03]",143,9.56915608391608,0.5359112293111887,0.15668311188811182,9.12-10.03
3dcnn,"(10.03, 11.055]",152,10.533243289473683,0.5827810646968419,0.10969882894736833,10.03-11.05
3dcnn,"(11.055, 12.513]",140,11.650877928571434,0.6183414189249998,0.14938332142857136,11.05-12.51
3dcnn,"(12.513, 15.893]",99,13.704217186868691,0.7124514232626263,0.001627757575757691,12.51-15.89
3dcnn,"(15.893, 47.374]",35,18.494824057142853,0.6915643420171429,0.11176717142857169,15.89-47.37
feature_extra_trees,"(1.4420000000000002, 6.746]",147,5.464503809523807,0.42204155222978096,0.17690112040816403,1.44-6.75
feature_extra_trees,"(6.746, 8.105]",148,7.475207162162163,0.4430646560060062,0.16504184579579703,6.75-8.11
feature_extra_trees,"(8.105, 9.117]",143,8.614088181818182,0.4474562613442112,0.13191342218337176,8.11-9.12
feature_extra_trees,"(9.117, 10.03]",152,9.539080723684208,0.4626355843750005,0.013170428929093416,9.12-10.03
feature_extra_trees,"(10.03, 11.055]",136,10.51053066176471,0.4369351283905231,0.03161382201797485,10.03-11.05
feature_extra_trees,"(11.055, 12.513]",139,11.730664460431653,0.42643200719424457,-0.12062190007993596,11.05-12.51
feature_extra_trees,"(12.513, 15.893]",110,13.900818909090905,0.5356699181818201,-0.22677307080808157,12.51-15.89
feature_extra_trees,"(15.893, 47.374]",25,18.897173199999994,0.5527793162222212,-0.22544937666666803,15.89-47.37
graph_mpnn,"(1.4420000000000002, 6.746]",32,5.559056765625,5.633425790624998,5.633425821875,1.44-6.75
graph_mpnn,"(6.746, 8.105]",39,7.398092261538461,5.328902973076924,5.3289029435897435,6.75-8.11
graph_mpnn,"(8.105, 9.117]",35,8.622217399999998,5.259621620571428,5.237817485714286,8.11-9.12
graph_mpnn,"(9.117, 10.03]",30,9.586446666666665,5.007829013333335,5.00782905,9.12-10.03
graph_mpnn,"(10.03, 11.055]",37,10.509236486486484,3.8419198054054053,3.8419198243243247,10.03-11.05
graph_mpnn,"(11.055, 12.513]",46,11.798906739130434,3.990522176521738,3.6451524891304343,11.05-12.51
graph_mpnn,"(12.513, 15.893]",116,14.019066810344826,2.830415471551723,1.8238588879310342,12.51-15.89
graph_mpnn,"(15.893, 47.374]",265,23.934444113207554,6.0980036973358525,-4.255423820754717,15.89-47.37
